customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.period2,awayScore.period2,homeTeam.disabled,homeRedCards,awayRedCards,roundInfo.name,roundInfo.slug,detailId,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,roundInfo.cupRoundType,hasEventPlayerStatistics,hasEventPlayerHeatMap
CPisemp,3,-1.0,False,False,9786793,1631808000,turkey-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Turkey,turkey,Turkey,F,Football,football,1,1496,TUR,True,0,38104,TR,Turkey,[],#ffffff,#ff0000,#ff0000,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,1,1,1,1,1,1,0,1,1.0,4.0,1631814696,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1631814818,,,,,,,,,,,,,,,,,
CPisRlp,2,-1.0,False,False,9786612,1632067200,israel-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Israel,israel,Israel,F,Football,football,1,598,ISR,True,0,38092,IL,Israel,[],#7bafde,#ffffff,#ffffff,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,0,0,0,0,4,4,2,4,,,1632070980,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1632074135,0.0,2.0,,,,,,,,,,,,,,,
CPisamp,1,-1.0,False,False,9786587,1634835600,serbia-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Serbia,serbia,Serbia,F,Football,football,1,1806,SRB,,True,0,38100,RS,Serbia,[],#ff0033,#ffffff,#ffffff,2,2,1,2,1,1,1,1,,,1634839575,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1634842623,1.0,0.0,False,,,,,,,,,,,,,,
CPisIlp,2,-1.0,False,False,9786589,1635260400,bulgaria-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Bulgaria,bulgaria,Bulgaria,F,Football,football,1,495,BUL,True,0,38083,BG,Bulgaria,[],#ffffff,#00924a,#00924a,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,0,0,0,0,5,5,2,5,,,1635264153,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1635267133,0.0,3.0,,1.0,,,,,,,,,,,,,
CPisRlp,1,-1.0,False,False,9786699,1637863200,israel-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Israel,israel,Israel,F,Football,football,1,598,ISR,,True,0,38092,IL,Israel,[],#7bafde,#ffffff,#ffffff,4,4,2,4,0,0,0,0,,,1637867100,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1637870119,2.0,0.0,False,,1.0,,,,,,,,,,,,
CPisREj,2,-1.0,False,False,9786632,1638295200,germany-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Germany,germany,Germany,F,Football,football,1,19388,GER,False,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,1,1,1,1,3,3,3,3,,,1638299132,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1638302275,0.0,0.0,False,,,,,,,,,,,,,,
xYcsCPi,2,-1.0,True,False,10127120,1645036200,norway-portugal,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,,100,Ended,finished,Norway,norway,Norway,F,Football,football,1,6633,NOR,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,0,0,0,0,2,2,1,2,1.0,3.0,1645043059,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645043064,,,False,,,,,,,,,,,,,,
yYcsCPi,2,-1.0,False,False,10135343,1645376700,sweden-portugal,False,"Algarve Cup, Women",algarve-cup-women,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,98403,1.0,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Sweden,sweden,Sweden,F,Football,football,1,10659,SWE,False,True,0,7423,SE,Sweden,[],#ffcc00,#0000ff,#0000ff,0,0,0,0,4,4,0,4,,,1645383469,"['homeScore.period2', 'awayScore.period2', 'time.injuryTime1', 'time.injuryTime2', 'status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645383485,0.0,4.0,False,,,,,,,,,,,,,,
xYcsCPi,2,-1.0,False,False,10149013,1645614000,norway-portugal,False,"Algarve Cup, Women, Final round",algarve-cup-women-final-round,World,world,Football,football,1,1468,international,Algarve Cup Women,algarve-cup-women,#fdb813,#e12e22,World,world,Football,football,1,1468,international,1271,411,False,False,False,False,0,7788,50.0,100,Ended,finished,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,Norway,norway,Norway,F,Football,football,1,6633,NOR,False,True,0,7422,NO,Norway,[],#ef2b2d,#001f5b,#001f5b,0,0,0,0,2,2,1,2,2.0,4.0,1645620750,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1645620753,,,False,,,Match for 3rd place,match-for-3rd-place,,,,,,,,,,
CPisREj,1,-1.0,False,False,9786673,1649513400,germany-portugal,False,"World Championship Qualification, Women, UEFA Group H",world-championship-qualification-women-uefa-group-h,Europe,europe,Football,football,1,1465,europe,World Championship Women Qual.,world-championship-women-qual,#3099ff,#fcc831,Europe,europe,Football,football,1,1465,europe,6333,780,False,False,False,False,0,12683,1.0,100,Ended,finished,Germany,germany,Germany,F,Football,football,1,19388,GER,True,0,23992,DE,Germany,[],#ffffff,#000000,#000000,Portugal,portugal,Portugal,F,Football,football,1,15365,POR,False,True,0,22027,PT,Portugal,[],#cc0000,#66cc66,#66cc66,3,3,1,3,0,0,0,0,,,1649517420,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1649520437,2.0,0.0,False,,,,,,,,,,,,,,
