customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,time.injuryTime1,time.injuryTime2,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasXg,homeRedCards,awayRedCards
bPsvP,1,False,False,11145298,1680375600,fortaleza-ceara,False,Cearense - Mata-mata,cearense-mata-mata,Brazil,brazil,Football,football,1,13,brazil,BR,Cearense,cearense,#bd8542,#e8cd86,Brazil,brazil,Football,football,1,13,brazil,BR,4571,378,False,False,False,False,0,58262,29,Final,final,1.0,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Ceará,ceara,Ceará,M,Football,football,1,44224,CEA,False,False,0,2001,BR,Brazil,[],#000000,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1680379800.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680383171,,,,,,,,,,,,
vPshnb,1,True,False,11174256,1680732000,palestino-fortaleza,False,"CONMEBOL Sudamericana, Group H",conmebol-sudamericana-group-h,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,399,91443,1,,,,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Palestino,palestino,Palestino,M,Football,football,1,6337,PAL,,False,0,3157,CL,Chile,[],#ffffff,#000000,#000000,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1680738695.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680739000,True,True,1.0,1.0,3.0,,,,,,,
bPsvP,3,False,False,11147006,1680980400,fortaleza-ceara,False,Cearense - Mata-mata,cearense-mata-mata,Brazil,brazil,Football,football,1,13,brazil,BR,Cearense,cearense,#bd8542,#e8cd86,Brazil,brazil,Football,football,1,13,brazil,BR,4571,378,False,False,False,False,0,58262,29,Final,final,1.0,100,Ended,finished,Ceará,ceara,Ceará,M,Football,football,1,44224,CEA,False,False,0,2001,BR,Brazil,[],#000000,#ffffff,#ffffff,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1680984540.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1680987826,,,,,,2.0,11145298.0,3.0,4.0,,,
vPsYEn,1,False,False,11177670,1681259400,aguia-de-maraba-fortaleza,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Águia de Marabá,aguia-de-maraba,Águia de Marabá,M,Football,football,1,2707,AMA,,False,0,33998,BR,Brazil,[],#ffffff,#0000e5,#0000e5,6.0,6.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,1.0,1681266852.0,['cardsCode'],1681282160,,,6.0,6.0,5.0,,,,,,,
qOsvP,3,True,False,11067275,1681594200,fortaleza-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1681601844.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601845,True,True,1.0,7.0,10.0,,,,,True,,
vPsbob,2,True,False,11174259,1682028000,san-lorenzo-fortaleza,False,"CONMEBOL Sudamericana, Group H",conmebol-sudamericana-group-h,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,399,91443,2,,,,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,19293,SLO,False,False,0,3201,AR,Argentina,[],#ff0000,#000033,#000033,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,1682034924.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682035074,True,True,1.0,3.0,5.0,,,,,,,
HOsvP,2,True,False,11067306,1682285400,fortaleza-coritiba,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,,100,Ended,finished,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,BR,Brazil,[],#ffffff,#009966,#009966,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,1682292437.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682292439,True,True,1.0,2.0,7.0,,,,,True,,
vPsYEn,2,False,False,11180001,1682548200,aguia-de-maraba-fortaleza,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Águia de Marabá,aguia-de-maraba,Águia de Marabá,M,Football,football,1,2707,AMA,,False,0,33998,BR,Brazil,[],#ffffff,#0000e5,#0000e5,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1682555389.0,['cardsCode'],1682585392,,,6.0,5.0,7.0,2.0,11177670.0,1.0,8.0,,1.0,1.0
lOsvP,1,True,False,11067339,1682796600,fortaleza-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,BR,Brazil,[],#660000,#006633,#006633,4.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1682803695.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682803699,True,True,1.0,5.0,5.0,,,,,True,,
vPsVed,1,True,False,11174260,1683244800,estudiantes-de-merida-fortaleza,False,"CONMEBOL Sudamericana, Group H",conmebol-sudamericana-group-h,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,399,91443,3,,,,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Estudiantes de Mérida,estudiantes-de-merida,Estudiantes de Mérida,M,Football,football,1,3431,EDM,,False,0,7745,VE,Venezuela,[],#000077,#ff0000,#ff0000,6.0,6.0,2.0,4.0,6.0,1.0,1.0,1.0,0.0,1.0,1683251730.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683251731,True,True,1.0,5.0,4.0,,,,,,,
