text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,injury,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,confirmed
FT,0.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,6.0,card,Yago Felipe,Foul,False,120827645.0,True,yellow,1.0,Yago Felipe,,,yago-felipe,Yago Felipe,M,156.0,552164.0,,,,,,,,,,,,,,,,,,,
,,,,90,3.0,card,Gil,Argument,False,120827640.0,False,yellow,1.0,Gil,,,gil,Gil,D,835.0,106402.0,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,card,Ademir,Foul,False,120827638.0,True,yellow,1.0,Ademir,,,ademir,Ademir,M,539.0,922546.0,,,,,,,,,,,,,,,,,,,
,,,,90,,card,Murillo,Foul,False,120827632.0,False,yellow,1.0,Murillo,Murillo,,murillo,Murillo,D,327.0,1199282.0,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
,,,,86,,card,Kanu,Foul,False,120827630.0,True,yellow,5.0,Kanu,,,kanu,Kanu,D,220.0,871705.0,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,,,121898289.0,True,injury,8.0,,,,,,,,,,True,Ryan,Ryan,,ryan,Ryan,D,57.0,1086990.0,Matheus Bahia,,,matheus-bahia,M. Bahia,D,139.0,1047204.0,
,,,,78,,substitution,,,,121898279.0,True,,13.0,,,,,,,,,,,Vinicius Mingotti,,,vinicius-mingotti,Vinicius Mingotti,F,84.0,989407.0,Everaldo,,,everaldo,Everaldo,F,419.0,386212.0,
,,,,78,,substitution,,,,121898278.0,True,,13.0,,,,,,,,,,,Cicinho,,,cicinho,Cicinho,D,109.0,243271.0,Gilberto,,,gilberto,Gilberto,D,965.0,261687.0,
,,,,75,,substitution,,,,121898275.0,False,,16.0,,,,,,,,,,,Caetano,,,caetano,Caetano,D,312.0,959006.0,Fábio Santos,,,fabio-santos,Fábio Santos,D,735.0,35519.0,
,,,,71,,substitution,,,,121898267.0,False,,20.0,,,,,,,,,,,Maycon,,,maycon,Maycon,M,774.0,831778.0,Renato Augusto,,,renato-augusto,Renato Augusto,M,2493.0,34152.0,
,,,,68,,substitution,,,,121898259.0,True,,23.0,,,,,,,,,,,Yago Felipe,,,yago-felipe,Yago Felipe,M,156.0,552164.0,Rezende,,,rezende,Rezende,M,133.0,868030.0,
,,,,63,,substitution,,,,121898250.0,False,injury,28.0,,,,,,,,,,True,Guilherme Biro,,,guilherme-biro,Guilherme Biro,M,744.0,1106667.0,Matías Rojas,,,matias-rojas,Matías Rojas,F,1764.0,846280.0,
,,,,46,,substitution,,,,121898233.0,False,,45.0,,,,,,,,,,,Adson,Adson,,adson,Adson,M,813.0,1105970.0,Giuliano,,,giuliano,Giuliano,M,1200.0,90862.0,
,,,,46,,substitution,,,,121898229.0,False,,45.0,,,,,,,,,,,Ruan Oliveira,Ruan Oliveira,,ruan-oliveira,Ruan Oliveira,M,162.0,1047656.0,Fagner,,,fagner,Fagner,D,1573.0,25554.0,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,2.0,varDecision,,,,19025.0,True,penaltyAwarded,1.0,Nicolás Acevedo,,,nicolas-acevedo,Nicolás Acevedo,M,289.0,959620.0,,,,,,,,,,,,,,,,,,,False
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
